geography,organisation,reference,name,geography,geometry,documentation-url,entry-date,start-date,end-date
claphamnorthindustrialestat,local-authority-eng:LBH,,"Clapham North Industrial Estate Key Industrial and Business Area;Durham Street/Oval Way Key Industrial and Business Area;Eurolink Business Centre Key Industrial and Business Area;Kennington Business Park Key Industrial and Business Area;Lion Yard
Key Industrial and Business Area;Park Hall Trading Estate Key Industrial and Business Area;Shakespeare Road Business Centre Key Industrial and Business Area;Southbank House and Newport Street Key Industrial and Business Area;Stannary Street Key Industrial and Business Area;Timber Mill Way Key Industrial and Business Area;Brixton Town Centre;some sites in Clapham Town Centre",,,https://www.lambeth.gov.uk/sites/default/files/pl-a4-confirmation-notice.pdf,2021-01-04,2017-09-15,
londoncentralactivitieszone,local-authority-eng:LBH,,London Central Activities Zone within Lambeth,,,https://www.lambeth.gov.uk/sites/default/files/pl_CAZ_Article_4_Direction_Confirmation_Notice.pdf,2021-01-04,2019-05-31,
lansdownegardens,local-authority-eng:LBH,CA3,Lansdowne Gardens,,,https://www.lambeth.gov.uk/sites/default/files/CA3LansdowneGardensArticle4Direction1973.pdf,2021-01-04,1981-07-07,
albertsquare,local-authority-eng:LBH,CA4,Albert Square,,,https://www.lambeth.gov.uk/sites/default/files/AlbertSquareCAstatement2009_2.pdf,2021-01-04,2009-04-24,
stockwellpark,local-authority-eng:LBH,CA5,Stockwell Park,,,https://www.lambeth.gov.uk/sites/default/files/pl-stockwellPark-1973.pdf,2021-01-04,1973-07-16,
stmarks,local-authority-eng:LBH,CA11,St Marks,,,https://www.lambeth.gov.uk/sites/default/files/ca11-st-marks-article-4-direction-guidance-note.pdf,2021-01-04,1975-01-31,
stmarks,local-authority-eng:LBH,CA11,St Marks,,,https://www.lambeth.gov.uk/sites/default/files/ca11-st-marks-article-4-direction-guidance-note.pdf,2021-01-04,1975-01-31,
parkhallroad,local-authority-eng:LBH,CA19,Park Hall Road,,,https://www.lambeth.gov.uk/sites/default/files/CA19ParkHallRoadArticle4DirectionGuidanceNote1985.pdf,2021-01-04,1985-02-18,
leighamcourtestate,local-authority-eng:LBH,CA31,Leigham Court Estate,,,https://www.lambeth.gov.uk/sites/default/files/CA31LeighamCourtEstateArticle4Report1995.pdf,2021-01-04,1995-11-21,
hydefarm,local-authority-eng:LBH,CA48,Hyde Farm,,,https://www.lambeth.gov.uk/sites/default/files/CA48HydeFarmArticle4Direction2002.pdf,2021-01-04,2002-11-22,
streathamlodge,local-authority-eng:LBH,CA62,Streatham Lodge,,,,2021-01-04,,
hanovergarden,local-authority-eng:LBH,,Hanover Garden,,,,2021-01-04,,
railwayarches,local-authority-eng:SWK,,Railway arches ,,,,2021-01-04,,
housesinmultipleoccupation,local-authority-eng:SWK,,Houses in Multiple Occupation,,,,2021-01-04,,
publichouses,local-authority-eng:SWK,,Public Houses ,,,,2021-01-04,,
lightindustrial,local-authority-eng:SWK,,Light Industrial ,,,,2021-01-04,,
