geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
article-4-direction:clapham-north-industrial-estat,Clapham North Industrial Estate Key Industrial and Business Area;Durham Street/Oval Way Key Industrial and Business Area;Eurolink Business Centre Key Industrial and Business Area;Kennington Business Park Key Industrial and Business Area;Lion Yard Key Industrial and Business Area;Park Hall Trading Estate Key Industrial and Business Area;Shakespeare Road Business Centre Key Industrial and Business Area;Southbank House and Newport Street Key Industrial and Business Area;Stannary Street Key Industrial and Business Area;Timber Mill Way Key Industrial and Business Area;Brixton Town Centre;some sites in Clapham Town Centre,,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/pl-a4-confirmation-notice.pdf,,2021-01-04,2017-09-15,,/article-4-direction/local-authority-eng/LBH/article-4-direction-clapham-north-industrial-estat
article-4-direction:london-central-activities-zone,London Central Activities Zone within Lambeth,,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/pl_CAZ_Article_4_Direction_Confirmation_Notice.pdf,,2021-01-04,2019-05-31,,/article-4-direction/local-authority-eng/LBH/article-4-direction-london-central-activities-zone
article-4-direction:lansdowne-gardens,Lansdowne Gardens,CA3,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/CA3LansdowneGardensArticle4Direction1973.pdf,,2021-01-04,1981-07-07,,/article-4-direction/local-authority-eng/LBH/article-4-direction-lansdowne-gardens
article-4-direction:albert-square,Albert Square,CA4,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/AlbertSquareCAstatement2009_2.pdf,,2021-01-04,2009-04-24,,/article-4-direction/local-authority-eng/LBH/article-4-direction-albert-square
article-4-direction:stockwell-park,Stockwell Park,CA5,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/pl-stockwellPark-1973.pdf,,2021-01-04,1973-07-16,,/article-4-direction/local-authority-eng/LBH/article-4-direction-stockwell-park
article-4-direction:st-marks,St Marks,CA11,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/ca11-st-marks-article-4-direction-guidance-note.pdf,,2021-01-04,1975-01-31,,/article-4-direction/local-authority-eng/LBH/article-4-direction-st-marks
article-4-direction:st-marks,St Marks,CA11,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/ca11-st-marks-article-4-direction-guidance-note.pdf,,2021-01-04,1975-01-31,,/article-4-direction/local-authority-eng/LBH/article-4-direction-st-marks
article-4-direction:park-hall-road,Park Hall Road,CA19,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/CA19ParkHallRoadArticle4DirectionGuidanceNote1985.pdf,,2021-01-04,1985-02-18,,/article-4-direction/local-authority-eng/LBH/article-4-direction-park-hall-road
article-4-direction:leigham-court-estate,Leigham Court Estate,CA31,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/CA31LeighamCourtEstateArticle4Report1995.pdf,,2021-01-04,1995-11-21,,/article-4-direction/local-authority-eng/LBH/article-4-direction-leigham-court-estate
article-4-direction:hyde-farm,Hyde Farm,CA48,local-authority-eng:LBH,https://www.lambeth.gov.uk/sites/default/files/CA48HydeFarmArticle4Direction2002.pdf,,2021-01-04,2002-11-22,,/article-4-direction/local-authority-eng/LBH/article-4-direction-hyde-farm
